lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Lake DV09,1783,-0.11952311197916288,-34.04267476399738,38.57278951009115,10.12384001413981,varve,-0.07900000000000001,Lake DV09 - varve
Lake DV09,1784,-0.34329833984372726,-33.31531880696613,37.42646916707357,10.362778345743815,varve,0.01599999999999996,Lake DV09 - varve
Lake DV09,1785,0.39238891601564774,-33.4475158691406,38.728031158447266,9.423792839050293,varve,0.01699999999999996,Lake DV09 - varve
Lake DV09,1786,-0.17462768554685226,-34.47801818847654,38.41408920288086,10.626733462015787,varve,-0.197,Lake DV09 - varve
Lake DV09,1787,0.07101847330733335,-33.87719319661457,40.97907384236654,10.09858481089274,varve,1.7520000000000002,Lake DV09 - varve
Lake DV09,1788,-0.07426554361978788,-32.431840006510384,39.94720586140951,10.013311703999838,varve,0.14699999999999996,Lake DV09 - varve
Lake DV09,1789,0.45358683268233335,-34.47806905110676,36.98352559407552,9.903349876403809,varve,-0.08399999999999996,Lake DV09 - varve
Lake DV09,1790,-0.37930908203122726,-35.14383544921873,37.7925059000651,11.276654561360678,varve,10.888,Lake DV09 - varve
Lake DV09,1791,0.11370239257814774,-34.08407694498695,40.78317515055338,10.747991243998209,varve,-0.23699999999999993,Lake DV09 - varve
Lake DV09,1792,-0.5407775878906023,-34.48783467610676,41.90057245890299,9.914044380187988,varve,-0.223,Lake DV09 - varve
Lake DV09,1793,-0.22605997721353788,-35.00294087727863,38.41530736287435,10.167274157206217,varve,0.1910000000000001,Lake DV09 - varve
Lake DV09,1794,-0.5377766927082916,-33.67376302083332,37.72894795735677,10.840577761332193,varve,-0.276,Lake DV09 - varve
Lake DV09,1795,-0.3651590983072879,-34.15147501627601,38.49858729044596,10.686128934224447,varve,-0.26299999999999996,Lake DV09 - varve
Lake DV09,1796,0.027520751953147737,-34.49584045410154,39.41911061604818,9.869882265726725,varve,0.21800000000000008,Lake DV09 - varve
Lake DV09,1797,0.3131551106770871,-34.47947794596351,36.77987162272135,9.993799527486166,varve,2.0909999999999997,Lake DV09 - varve
Lake DV09,1798,-0.0029968261718522626,-33.92625528971351,38.91601308186849,10.809017499287924,varve,2.09,Lake DV09 - varve
Lake DV09,1799,0.05313517252608335,-33.04502970377601,39.95394643147787,10.113674799601236,varve,0,Lake DV09 - varve
Lake DV09,1800,-0.005651855468727263,-33.499472045898415,36.09874153137207,11.249242782592773,varve,1.5579999999999998,Lake DV09 - varve
Lake DV09,1801,0.5821065266927121,-34.10986429850257,37.02265167236328,10.466468493143717,varve,4.752,Lake DV09 - varve
Lake DV09,1802,0.29723510742189774,-34.389913940429665,38.53793589274088,10.557984034220377,varve,-0.411,Lake DV09 - varve
