lake_name,layer,age_CE,tresh_pos_z5,tresh_neg_z2_5,thickness,mm,mad,scaled_magnitude,scaled_magnitude_sign,record_label
Iceberg Lake_1,varve,1834,7.897499999999998,1.9912500000000009,0,3.96,0.7874999999999996,-5.028571428571431,negative,Iceberg Lake_1 - varve
Iceberg Lake_1,varve,1825,5.662499999999999,1.8187500000000008,0,3.1,0.5124999999999997,-6.048780487804882,negative,Iceberg Lake_1 - varve
Iceberg Lake_1,varve,1817,4.012499999999999,2.56875,4.39,3.05,0.1924999999999999,6.961038961038964,positive,Iceberg Lake_1 - varve
Iceberg Lake_1,varve,1816,4.037500000000001,2.593749999999999,4.535,3.075,0.19250000000000034,7.584415584415571,positive,Iceberg Lake_1 - varve
Iceberg Lake_2,varve,1851,3.999999999999999,1.7500000000000004,8.7,2.5,0.2999999999999998,20.666666666666675,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1848,3.999999999999999,1.7500000000000004,4.7,2.5,0.2999999999999998,7.333333333333338,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1847,3.999999999999999,1.7500000000000004,5.4,2.5,0.2999999999999998,9.666666666666673,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1840,7.8,1.0499999999999998,11.3,3.3,0.8999999999999999,8.88888888888889,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1813,7.999999999999999,2.0000000000000004,8,4,0.7999999999999998,5.000000000000001,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1800,4.999999999999999,2.7500000000000004,7.3,3.5,0.2999999999999998,12.666666666666673,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1776,5.5,1.75,6.2,3,0.5,6.4,positive,Iceberg Lake_2 - varve
Iceberg Lake_2,varve,1769,5.6,1.85,5.8,3.1,0.5,5.3999999999999995,positive,Iceberg Lake_2 - varve
Kassjön,varve,1801,0.97734375,0.48295898437499996,1.00107421875,0.64775390625,0.06591796875,5.359999999999999,positive,Kassjön - varve
Kenai,varve,1828,7.209999999999997,1.2850000000000008,7.61,3.26,0.7899999999999996,5.506329113924054,positive,Kenai - varve
Kenai,varve,1827,6.369999999999998,1.1200000000000003,6.720000000000001,2.8699999999999997,0.6999999999999997,5.5000000000000036,positive,Kenai - varve
Kenai,varve,1825,6.369999999999998,1.1200000000000003,6.62,2.8699999999999997,0.6999999999999997,5.357142857142859,positive,Kenai - varve
Kenai,varve,1802,10.96,-0.14000000000000146,34.29,3.5599999999999996,1.4800000000000004,20.76351351351351,positive,Kenai - varve
Kenai,varve,1780,5.119999999999999,0.6950000000000003,5.23,2.17,0.5899999999999999,5.186440677966104,positive,Kenai - varve
Kuninkaisenlampi,dark layer,1839,1.7199999999999998,0.2200000000000002,1.94,0.7200000000000001,0.19999999999999996,6.1000000000000005,positive,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,dark layer,1838,1.7200000000000004,0.21999999999999975,0.08,0.72,0.20000000000000007,-3.199999999999999,negative,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,dark layer,1837,1.620000000000001,0.2699999999999997,1.7000000000000002,0.7200000000000001,0.18000000000000016,5.44444444444444,positive,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,dark layer,1811,0.8600000000000002,0.4099999999999998,0.38,0.5599999999999999,0.06000000000000005,-2.9999999999999964,negative,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,dark layer,1800,0.8999999999999997,0.30000000000000004,0.9,0.49999999999999994,0.07999999999999996,5.0000000000000036,positive,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,dark layer,1777,1.0000000000000004,0.24999999999999978,0.08,0.5,0.10000000000000009,-4.199999999999996,negative,Kuninkaisenlampi - dark layer
Kuninkaisenlampi,light layer,1866,0.4399999999999999,0.14000000000000004,0.54,0.24,0.03999999999999998,7.500000000000004,positive,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1841,0.6,0.15,0.14,0.3,0.06,-2.6666666666666665,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1819,0.4599999999999999,0.16000000000000006,0.12,0.26,0.03999999999999998,-3.500000000000002,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1818,0.4599999999999999,0.16000000000000006,0.14,0.26,0.03999999999999998,-3.0000000000000013,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1817,0.4599999999999999,0.16000000000000006,0.14,0.26,0.03999999999999998,-3.0000000000000013,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1816,0.4599999999999999,0.16000000000000006,0.14,0.26,0.03999999999999998,-3.0000000000000013,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1800,0.3799999999999999,0.1400000000000001,0,0.22000000000000003,0.03199999999999997,-6.875000000000007,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1779,0.512,0.12200000000000003,0.9,0.252,0.05199999999999999,12.461538461538463,positive,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1777,0.3799999999999999,0.1400000000000001,0.1,0.22000000000000003,0.03199999999999997,-3.750000000000004,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1775,0.3799999999999999,0.1400000000000001,0.12,0.22000000000000003,0.03199999999999997,-3.1250000000000036,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1774,0.3200000000000001,0.16999999999999998,0.33999999999999997,0.22000000000000003,0.020000000000000018,5.999999999999992,positive,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1773,0.3200000000000001,0.16999999999999998,0.14,0.22000000000000003,0.020000000000000018,-3.9999999999999973,negative,Kuninkaisenlampi - light layer
Kuninkaisenlampi,light layer,1770,0.3200000000000001,0.16999999999999998,0.14,0.22000000000000003,0.020000000000000018,-3.9999999999999973,negative,Kuninkaisenlampi - light layer
Kusai,dark layer,1856,0.8459016393442627,0.052868852459016236,2.273360655737706,0.31721311475409836,0.10573770491803286,18.5,positive,Kusai - dark layer
Kusai,dark layer,1855,0.7798155737704949,0.08591188524590007,0.9199180327868852,0.31721311475409836,0.09252049180327931,6.514285714285669,positive,Kusai - dark layer
Kusai,dark layer,1854,0.8273975409836205,0.09384221311474208,1.311147540983611,0.3383606557377016,0.0978073770491838,9.945945945945674,positive,Kusai - dark layer
Kusai,dark layer,1822,1.4909016393442625,0.22204918032786874,2.622295081967211,0.645,0.1691803278688525,11.687499999999984,positive,Kusai - dark layer
Kusai,dark layer,1806,1.0150819672131104,0.2220491803278702,1.152540983606557,0.48639344262295026,0.10573770491803203,6.300000000000047,positive,Kusai - dark layer
Kusai,dark layer,1794,1.4274590163934469,0.0793032786885236,1.4380327868852456,0.5286885245901647,0.17975409836065642,5.05882352941174,positive,Kusai - dark layer
Kusai,dark layer,1789,1.17368852459016,0.1427459016393453,1.3745901639344265,0.48639344262295026,0.137459016393442,6.461538461538497,positive,Kusai - dark layer
Kusai,light layer,1863,2.2416393442622837,0.25905737704918597,2.368524590163935,0.9199180327868852,0.2643442622950797,5.480000000000049,positive,Kusai - light layer
Kusai,light layer,1854,4.218934426229507,-0.14274590163934353,4.472704918032788,1.3111475409836066,0.5815573770491801,5.43636363636364,positive,Kusai - light layer
Kusai,light layer,1841,2.6434426229508254,0.4626024590163924,4.057684426229509,1.1895491803278702,0.2907786885245911,9.863636363636328,positive,Kusai - light layer
Kusai,light layer,1840,3.5527868852459026,0.30135245901639385,5.2207991803278695,1.38516393442623,0.4335245901639345,8.847560975609754,positive,Kusai - light layer
Kusai,light layer,1828,3.5316393442623006,1.2318442622950798,1.1313934426229502,1.99844262295082,0.3066393442622961,-2.827586206896546,negative,Kusai - light layer
Kusai,light layer,1826,3.362459016393439,1.3798770491803338,4.620737704918034,2.0407377049180355,0.2643442622950807,9.760000000000042,positive,Kusai - light layer
Kusai,light layer,1813,3.8277049180327882,1.3693032786885262,0.8776229508196729,2.18877049180328,0.3277868852459016,-4.000000000000003,negative,Kusai - light layer
Kusai,light layer,1781,3.193278688524593,1.2899999999999987,0.7824590163934431,1.9244262295081969,0.25377049180327926,-4.4999999999999885,negative,Kusai - light layer
Lake C2,varve,1866,2.2246000000000006,-0.09890000000000021,3.1537,0.6756,0.3098000000000001,7.999031633311813,positive,Lake C2 - varve
Lake C2,varve,1857,1.4016000000000002,0.1273499999999999,1.5823,0.5521,0.16990000000000005,6.0635668040023525,positive,Lake C2 - varve
Lake C2,varve,1833,2.3660999999999994,0.041850000000000165,2.6216,0.8166,0.30989999999999995,5.824459503065506,positive,Lake C2 - varve
Lake C2,varve,1797,2.0814999999999992,0.1787500000000002,2.1345,0.813,0.2536999999999999,5.208908159243203,positive,Lake C2 - varve
Lake C2,varve,1795,1.7794000000000003,0.25464999999999993,1.9824,0.7629,0.20330000000000004,5.998524348253811,positive,Lake C2 - varve
Lake C2,varve,1789,1.7268999999999997,0.20440000000000014,2.8988,0.7119,0.20299999999999996,10.772906403940889,positive,Lake C2 - varve
Lake C2,varve,1776,1.1200999999999999,0.35585000000000006,5.3457,0.6106,0.10189999999999999,46.468105986261044,positive,Lake C2 - varve
