age_BP,varve_thick,peaks_pos,peaks_neg,lake_name,age_CE
97,0.0355928126432003,0,0,Big Round Lake,1853
98,0.016423320419240654,0,0,Big Round Lake,1852
99,-0.006201608681253034,0,0,Big Round Lake,1851
100,0.026498794588886175,0,0,Big Round Lake,1850
101,0.12020008674768164,0,0,Big Round Lake,1849
102,0.04622134253685027,0,0,Big Round Lake,1848
103,0.00743247047881971,0,0,Big Round Lake,1847
104,0.10956002268697762,0,0,Big Round Lake,1846
105,0.06545143609049657,0,0,Big Round Lake,1845
106,-4.539072705594671e-4,0,0,Big Round Lake,1844
107,0.0075120053605393505,0,0,Big Round Lake,1843
108,0.016093706628003565,0,0,Big Round Lake,1842
109,0.017942714469594473,0,0,Big Round Lake,1841
110,0.0442071836368379,0,0,Big Round Lake,1840
111,0.15608080579526395,0,0,Big Round Lake,1839
112,0.01808183545916081,0,0,Big Round Lake,1838
113,-0.018885270268398712,0,0,Big Round Lake,1837
114,0.002455159791280387,0,0,Big Round Lake,1836
115,-0.002309728815422983,0,0,Big Round Lake,1835
116,-0.02458350018047652,0,0,Big Round Lake,1834
117,-0.024738071702049034,0,0,Big Round Lake,1833
118,0.031354246017681914,0,0,Big Round Lake,1832
119,0.11273893529270354,0,0,Big Round Lake,1831
120,0.04779037582016232,0,0,Big Round Lake,1830
121,0.04106620709619729,0,0,Big Round Lake,1829
122,0.09657212476424006,0,0,Big Round Lake,1828
123,0.06845323477382174,0,0,Big Round Lake,1827
124,-0.005570790431808248,0,0,Big Round Lake,1826
125,-0.028170489988540874,0,0,Big Round Lake,1825
126,-0.03245073739536899,0,1,Big Round Lake,1824
127,-0.027840980540756323,0,0,Big Round Lake,1823
128,-0.016744416113955773,0,0,Big Round Lake,1822
129,-0.0197584409247821,0,0,Big Round Lake,1821
130,-0.013680525966475312,0,0,Big Round Lake,1820
131,-0.01987509939781886,0,0,Big Round Lake,1819
132,-0.025575829512327918,0,0,Big Round Lake,1818
133,-0.026461118945317972,0,0,Big Round Lake,1817
134,-0.026058517708586436,0,0,Big Round Lake,1816
135,-0.019029501436390525,0,0,Big Round Lake,1815
136,-0.004021062573868875,0,0,Big Round Lake,1814
137,-0.01637632001679164,0,0,Big Round Lake,1813
138,-0.019958804281161216,0,0,Big Round Lake,1812
139,-0.019459262792220128,0,0,Big Round Lake,1811
140,-0.021860102609117197,0,0,Big Round Lake,1810
141,-0.008897755531895474,0,0,Big Round Lake,1809
142,0.05650847149759154,0,0,Big Round Lake,1808
143,0.02910363027303885,0,0,Big Round Lake,1807
144,0.02147090202108651,0,0,Big Round Lake,1806
145,0.02209479227385284,0,0,Big Round Lake,1805
146,-0.007457618690547606,0,0,Big Round Lake,1804
147,0.004636302156000423,0,0,Big Round Lake,1803
148,0.038565188457162405,0,0,Big Round Lake,1802
149,-0.007048078282387085,0,0,Big Round Lake,1801
150,-0.004450079996141391,0,0,Big Round Lake,1800
151,0.06391285381833833,0,0,Big Round Lake,1799
152,0.04740775474377087,0,0,Big Round Lake,1798
153,0.011361921619707224,0,0,Big Round Lake,1797
154,0.022845051430620242,0,0,Big Round Lake,1796
155,0.08205008754312006,0,0,Big Round Lake,1795
156,0.17073566895033138,0,0,Big Round Lake,1794
157,0.11642719661237702,0,0,Big Round Lake,1793
158,0.03747441405293979,0,0,Big Round Lake,1792
159,-0.0031938065316656494,0,0,Big Round Lake,1791
160,-0.00875673333765854,0,0,Big Round Lake,1790
161,-0.00789444260173782,0,0,Big Round Lake,1789
162,-0.004598708527146462,0,0,Big Round Lake,1788
163,0.015169763710325492,0,0,Big Round Lake,1787
164,0.03071146050561107,0,0,Big Round Lake,1786
165,0.03971641720219682,0,0,Big Round Lake,1785
166,0.0827618134515958,0,0,Big Round Lake,1784
167,0.011853530140240126,0,0,Big Round Lake,1783
168,0.002471478901059237,0,0,Big Round Lake,1782
169,0.005489947686523833,0,0,Big Round Lake,1781
170,0.026015102522464702,0,0,Big Round Lake,1780
171,0.017331042899742237,0,0,Big Round Lake,1779
172,3.376129553131976e-4,0,0,Big Round Lake,1778
173,0.025736006856566122,0,0,Big Round Lake,1777
174,0.022263988746699822,0,0,Big Round Lake,1776
175,-7.314892700191799e-4,0,0,Big Round Lake,1775
176,-0.0020517730924141894,0,0,Big Round Lake,1774
177,-1.9979565152901217e-4,0,0,Big Round Lake,1773
178,0.0010895322371118964,0,0,Big Round Lake,1772
179,0.0012745366722028552,0,0,Big Round Lake,1771
180,0.01531629464806832,0,0,Big Round Lake,1770
181,0.02690634602028853,0,0,Big Round Lake,1769
182,0.005790706918672232,0,0,Big Round Lake,1768
183,0.0019315398425491187,0,0,Big Round Lake,1767
184,0.001357042730468499,0,0,Big Round Lake,1766
185,2.4344460757732894e-4,0,0,Big Round Lake,1765
84,-1.6881088017844242e-4,0,0,Blue Lake,1866
85,-0.002809511813213237,0,0,Blue Lake,1865
86,1.3008578502199386e-5,0,0,Blue Lake,1864
87,0.0011188243537301572,0,0,Blue Lake,1863
88,-0.004102007304967695,0,0,Blue Lake,1862
89,0.019390525752961817,0,0,Blue Lake,1861
90,0.019126405477087695,0,0,Blue Lake,1860
91,-0.00597440898649244,0,0,Blue Lake,1859
92,-0.014602008793285916,0,0,Blue Lake,1858
93,0.0048534268909211226,0,0,Blue Lake,1857
94,0.05868164025568589,0,0,Blue Lake,1856
95,0.045792302300434184,0,0,Blue Lake,1855
