age_CE,light_lamin_thick,dark_lamin_thick,ref,lon,lat,varve_thick,lake_name
1918,0.055,0.046,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.101,Nar Gölü
1917,0.05,0.061,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.111,Nar Gölü
1916,0.09,0.048,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.138,Nar Gölü
1915,0.074,0.032,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.106,Nar Gölü
1914,0.044,0.078,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.122,Nar Gölü
1913,0.012,0.077,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.089,Nar Gölü
1912,0.031,0.018,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.049,Nar Gölü
1911,0.065,0.035,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.1,Nar Gölü
1910,0.039,0.042,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.081,Nar Gölü
1909,0.067,0.048,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.115,Nar Gölü
1908,0.007,0,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.007,Nar Gölü
1907,0.083,0.033,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.116,Nar Gölü
1906,0.042,0.025,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.067,Nar Gölü
1905,0.033,0.033,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.066,Nar Gölü
1904,0.071,0.039,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.10999999999999999,Nar Gölü
1903,0.063,0.032,"Woodbridge, Jessie, Ph.D. thesis, University of Plymouth ‘Late Holocene lake diatom-inferred palaeoclimate from central Turkey'. 2009",34.456106,38.340367,0.095,Nar Gölü
