lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,anomaly,value_of_anomaly,unit4anomaly
Green Lake,50.2,-122.9,1999,varve,4.725153277017605,NOAA,"Schiefer, E., Menounos, B., Slaymaker, O., 2006. Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences, 43(12), 1777-1790. Available at: https://doi.org/10.1139/e06-056",Canada,North America,Winter temperature in 1816/1817,-0.12655604397110665,°C
Green Lake,50.2,-122.9,1999,varve,4.725153277017605,NOAA,"Schiefer, E., Menounos, B., Slaymaker, O., 2006. Extreme sediment delivery events recorded in the contemporary sediment record of a montane lake, southern Coast Mountains, British Columbia. Canadian Journal of Earth Sciences, 43(12), 1777-1790. Available at: https://doi.org/10.1139/e06-056",Canada,North America,Winter precipitation in 1816/1817,88.80736684575868,%
Holzmaar,50.1188889,6.8791667,1989,varve,3.142857142857143,author,"Zolitschka, B., 1996. High Resolution Lacustrine Sediments and Their Potential for Palaeoclimatic Reconstruction, in: Jones, P.D., Bradley, R.S., Jouzel, J. (Eds.), Climatic Variations and Forcing Mechanisms of the Last 2000 Years. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 453–478. Available at: https://doi.org/10.1007/978-3-642-61113-1_21
",Germany,Europe,Summer temperature in 1816,-2.1005655924479356,°C
Holzmaar,50.1188889,6.8791667,1989,varve,3.142857142857143,author,"Zolitschka, B., 1996. High Resolution Lacustrine Sediments and Their Potential for Palaeoclimatic Reconstruction, in: Jones, P.D., Bradley, R.S., Jouzel, J. (Eds.), Climatic Variations and Forcing Mechanisms of the Last 2000 Years. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 453–478. Available at: https://doi.org/10.1007/978-3-642-61113-1_21
",Germany,Europe,Summer precipitation in 1816,153.07943350289065,%
Holzmaar,50.1188889,6.8791667,1989,varve,3.142857142857143,author,"Zolitschka, B., 1996. High Resolution Lacustrine Sediments and Their Potential for Palaeoclimatic Reconstruction, in: Jones, P.D., Bradley, R.S., Jouzel, J. (Eds.), Climatic Variations and Forcing Mechanisms of the Last 2000 Years. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 453–478. Available at: https://doi.org/10.1007/978-3-642-61113-1_21
",Germany,Europe,Winter temperature in 1816/1817,2.3411700056724385,°C
Holzmaar,50.1188889,6.8791667,1989,varve,3.142857142857143,author,"Zolitschka, B., 1996. High Resolution Lacustrine Sediments and Their Potential for Palaeoclimatic Reconstruction, in: Jones, P.D., Bradley, R.S., Jouzel, J. (Eds.), Climatic Variations and Forcing Mechanisms of the Last 2000 Years. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 453–478. Available at: https://doi.org/10.1007/978-3-642-61113-1_21
",Germany,Europe,Winter precipitation in 1816/1817,110.07007736883966,%
Hvítárvatn,64.61013515,-19.84014872,2002,varve,9.48,VARDA,"Larsen, D.J. et al., 2011. A 3000-year varved record of glacier activity and climate change from the proglacial lake Hvítárvatn, Iceland. Quaternary Science Reviews, 30(19-20), pp.2715–2731. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.026.",Iceland,Europe,Summer temperature in 1816,-0.840766226891219,°C
Hvítárvatn,64.61013515,-19.84014872,2002,varve,9.48,VARDA,"Larsen, D.J. et al., 2011. A 3000-year varved record of glacier activity and climate change from the proglacial lake Hvítárvatn, Iceland. Quaternary Science Reviews, 30(19-20), pp.2715–2731. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.026.",Iceland,Europe,Summer precipitation in 1816,102.91315170557182,%
Hvítárvatn,64.61013515,-19.84014872,2002,varve,9.48,VARDA,"Larsen, D.J. et al., 2011. A 3000-year varved record of glacier activity and climate change from the proglacial lake Hvítárvatn, Iceland. Quaternary Science Reviews, 30(19-20), pp.2715–2731. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.026.",Iceland,Europe,Winter temperature in 1816/1817,-1.0232246826977305,°C
Hvítárvatn,64.61013515,-19.84014872,2002,varve,9.48,VARDA,"Larsen, D.J. et al., 2011. A 3000-year varved record of glacier activity and climate change from the proglacial lake Hvítárvatn, Iceland. Quaternary Science Reviews, 30(19-20), pp.2715–2731. Available at: http://dx.doi.org/10.1016/j.quascirev.2011.05.026.",Iceland,Europe,Winter precipitation in 1816/1817,104.20293507933584,%
Iceberg Lake,60.78804467,-142.9588516,1998,varve,5.7,VARDA,"Loso, M.G., 2008. Summer temperatures during the Medieval Warm Period and Little Ice Age inferred from varved proglacial lake sediments in southern Alaska. Journal of Paleolimnology, 41(1), pp.117–128. Available at: http://dx.doi.org/10.1007/s10933-008-9264-9.",United States,North America,Summer temperature in 1816,0.07854156997734663,°C
Iceberg Lake,60.78804467,-142.9588516,1998,varve,5.7,VARDA,"Loso, M.G., 2008. Summer temperatures during the Medieval Warm Period and Little Ice Age inferred from varved proglacial lake sediments in southern Alaska. Journal of Paleolimnology, 41(1), pp.117–128. Available at: http://dx.doi.org/10.1007/s10933-008-9264-9.",United States,North America,Summer precipitation in 1816,86.15411642956676,%
Iceberg Lake,60.78804467,-142.9588516,1998,varve,5.7,VARDA,"Loso, M.G., 2008. Summer temperatures during the Medieval Warm Period and Little Ice Age inferred from varved proglacial lake sediments in southern Alaska. Journal of Paleolimnology, 41(1), pp.117–128. Available at: http://dx.doi.org/10.1007/s10933-008-9264-9.",United States,North America,Winter temperature in 1816/1817,0.05604356822402678,°C
Iceberg Lake,60.78804467,-142.9588516,1998,varve,5.7,VARDA,"Loso, M.G., 2008. Summer temperatures during the Medieval Warm Period and Little Ice Age inferred from varved proglacial lake sediments in southern Alaska. Journal of Paleolimnology, 41(1), pp.117–128. Available at: http://dx.doi.org/10.1007/s10933-008-9264-9.",United States,North America,Winter precipitation in 1816/1817,87.44161477333996,%
Kassjön,63.92566,20.00977,1901,varve,0.89208984375,author,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",NA,NA,Summer temperature in 1816,0.03077602071732599,°C
